n,v,tfb
10,106,2.2511
10,210,3.11662
10,230,2.8007
10,246,3.11269
10,288,3.4873
10,294,2.36134
10,318,3.20126
10,384,3.19482
10,72,3.07734
11,115,6.61949
11,154,6.65792
11,169,7.35675
11,172,7.03786
11,270,6.00798
11,28,6.30195
11,336,4.59313
11,360,6.52571
11,366,3.90983
12,132,14.4574
12,136,10.2202
12,210,11.6627
12,226,12.978
12,244,11.4634
12,282,13.2989
12,294,10.245
12,348,8.98337
12,58,11.1899
13,184,20.3582
13,186,18.9749
13,195,21.0017
13,234,15.8097
13,324,20.8263
13,360,19.2566
13,366,18.991
13,370,19.4706
13,396,20.0879
14,108,37.3074
14,140,37.8289
14,142,34.7913
14,144,36.9926
14,156,36.3274
14,172,35.3485
14,268,32.5703
14,350,37.1059
14,370,35.398
15,108,66.8483
15,118,68.9579
15,132,68.6165
15,240,71.1328
15,290,69.5399
15,320,68.712
15,332,68.8913
15,40,68.65
15,76,68.8475
16,138,136.956
16,156,136.678
16,186,138.739
16,246,139.684
16,260,140.126
16,310,143.026
16,336,143.675
16,44,140.784
16,90,140.882
17,109,288.723
17,222,287.559
17,246,285.343
17,252,285.126
17,266,286.181
17,348,286.728
17,49,285.517
17,86,286.067
17,88,291.342
18,114,589.564
18,140,594.691
18,174,593.014
18,182,596.457
18,188,594.896
18,288,590.428
18,34,591.131
18,66,587.164
19,112,1220.76
19,118,1222.53
19,148,1214.34
19,164,1216.73
19,254,1214.6
19,286,1218.62
19,312,1222.25
19,44,1215.49
19,48,1216.13
20,102,2513.96
20,174,2508.96
20,18,2512.64
20,204,2522.14
20,216,2509.8
20,254,2511.57
20,270,2511.92
20,310,2516.01
20,36,2519.51
21,126,5196.39
21,160,5201.42
21,248,5226.67
21,350,5208.8
21,366,5190.54
21,52,5200.72
21,54,5199.31
21,82,5200.42
21,96,5199.13
22,120,10764.5
22,132,10742.9
22,142,10740.4
22,154,10741.2
22,162,10739.2
22,220,10742.5
22,236,10752.9
22,278,10743.9
22,70,10729.3
23,124,22226.5
23,138,22161.9
23,162,22198.4
23,186,22190
23,188,22168
23,224,22314.6
23,318,22454.6
23,360,22429.2
23,50,22458.9
24,102,46607.9
24,120,45724.7
24,156,45779.2
24,169,45837.3
24,208,45734.8
24,222,45667
24,264,45807.9
24,8,45769.3
24,96,45704.5
25,116,94337.6
25,156,94396.1
25,164,94650.3
25,260,94267
25,264,94255.6
25,280,94504.8
25,360,94126.1
25,61,94335.4
25,64,94444.4
26,120,194048
26,130,194502
26,144,194521
26,240,193961
26,250,194652
26,306,194594
26,49,194359
26,88,194186
27,115,400368
27,188,400579
27,208,400255
27,234,400249
27,260,399137
27,276,399585
27,370,400642
27,86,400599
27,90,400131
